wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
wbs|aufbl&auml;hen|Meeks: AL 780929|aufblaehen
wbs|Steigen (vom Wasser)|Meeks: AL 780930|Steigen (vom Wasser)
wbg|leuchten|Wb I S 296|leuchten
wbg|gr&uuml;nen|Wb I S 296|gruenen
wbgwjj|der, der leuchtet|Meeks: AL 780933|der, der leuchtet
wbd|brennen, brennend sein|Wb I S 297|brennen, brennend sein
wbd|Ru&szlig;|Wb I S 297|Russ
wbdt|Brand, Brennen|Wb I S 297|Brand, Brennen
wp|[Bezeichnung f&uuml;r Milchk&uuml;he]|Wb I S 298|[Bezeichnung fuer Milchkuehe]
wp|zerteilen|Wb I S 302|zerteilen
wp|Messer|Wb I S 302|Messer
wp|[Bezeichnung der T&uuml;ren]|Wb I S 302|[Bezeichnung der Tueren]
wp|Richter|Wb I S 302|Richter
wp|Fest (allgemein)|Wb I S 304|Fest (allgemein)
wp|auf Reise schicken|Meeks: AL 770904|auf Reise schicken
wp|Opfer|Meeks: AL 790652|Opfer
wp|Brot, Lebensmittel|Meeks: AL 790653|Brot, Lebensmittel
wpt|Geh&ouml;rn|Wb I S 297|Gehoern
wpt|Gericht|Wb I S 302|Gericht
wpt|Einzelangabe|Wb I S 303|Einzelangabe
wptt|Falle|Meeks: AL 780950|Falle
wp-wAt|[Dekan]|Wb I S 304|[Dekan]
wp-wAwt|Upwaut|Wb I S 304|Upwaut
wpt-rA|Mund&ouml;ffnung|Wb I S 300|Mundoeffnung
wp-rnpt|Neujahrstag|Wb I S 305|Neujahrstag
wp-hrw|Tagesbeginn|Wb I S 305|Tagesbeginn
wp-Xt|Erstgeborener|Wb III S 356|Erstgeborener
wp-st|im Einzelnen|Wb I S 302|im Einzelnen
wpj|trennen|Wb I S 298|trennen
wpj-HDt|wei&szlig;e Krone tragen|Wb I S 301|weisse Krone tragen
wpj-st|Platz einnehmen|Wb I S 301|Platz einnehmen
wpjw|[Gott]|Wb I S 302|[Gott]
wpw|au&szlig;er|Wb I S 301|ausser
wpw|Leichen&ouml;ffner|Wb I S 302|Leichenoeffner
wpw|Richter (G&ouml;tterbeiname)|Wb I S 302|Richter (Goetterbeiname)
wpw|[Gef&auml;&szlig;]|Meeks: AL 780946|[Gefaess]
wpw|[erster Monatstag]|RdE 29 (1977) S 7; Meeks: AL 770897|[erster Monatstag]
wpwt|Untergebene|Wb I S 303|Untergebene
wpwt|Schar von Frauen bei Begr&uuml;&szlig;ung|Wb I S 303|Schar von Frauen bei Begruessung
wpwt|Auftrag|Wb I S 303|Auftrag
wpwtj|Bote|Wb I S 304|Bote
wpw-r|abgesehen von|Wb I S 301|abgesehen von
wprt|Seitenlocke des Kindes|Wb I S 305|Seitenlocke des Kindes
wprt|[Priesterin]|Wb I S 305|[Priesterin]
wps|verbrennen (den B&ouml;sen)|Wb I S 305|verbrennen (den Boesen)
wpst|[Name einer besonderen G&ouml;ttin]|Wb I S 305|[Name einer besonderen Goettin]
wpS|umherstreuen, erleuchten|Wb I S 305|umherstreuen, erleuchten
wpS|Luft|Wb I S 306|Luft
wpSt|die, die man auss&auml;t|Meeks: AL 780954|die, die man aussaet
wpg|[Heiligtum in Abydos]|Wb I S 306|[Heiligtum in Abydos]
wfA|Lunge|Wb I S 306|Lunge
wfA|beistimmen|Wb I S 306|beistimmen
wfj|[Schlange]|Wb I S 306|[Schlange]
wfH|verbrennen|Wb I S 306|verbrennen
wft|durchbohren|Wb I S 306|durchbohren
wmmT|[Bezeichnung des B&ouml;sen]|Wb I S 306|[Bezeichnung des Boesen]
wmt|dick, dick sein|Wb I S 306|dick, dick sein
wmt|Dicke (als Dimension)|Wb I S 306|Dicke (als Dimension)
wmt|Dichte der Feinde|Wb I S 306|Dichte der Feinde
wmt|Leibung, Mauerdicke|Wb I S 307|Leibung, Mauerdicke
wmt|[dicht gewebter Leinenstoff]|Wb I S 307|[dicht gewebter Leinenstoff]
wmt|Befestigungsmauer|Wb I S 307|Befestigungsmauer
wmt|Futter|Meeks: AL 780957|Futter
wmtt|Umwallung|Wb I S 307|Umwallung
wmtt|[Eigenschaft des Menschen]|Wb I S 307|[Eigenschaft des Menschen]
wmt-jb|tapfer|Wb I S 306|tapfer
wn|wir (pron pers 1 pl)|Wb I S 307|wir (pron pers 1 pl)
wn|[Vogel]|Wb I S 307|[Vogel]
wn|[Substantiv, eine Personenbezeichnung]|Wb I S 307|[Substantiv, eine Personenbezeichnung]
wn|sein|Wb I S 308|sein
wn|&ouml;ffnen|Wb I S 311|oeffnen
wn|&Ouml;ffnung (von T&uuml;r)|Wb I S 312|Oeffnung (von Tuer)
wn|Fehler|Wb I S 314|Fehler
wn|Schuld|Wb I S 314|Schuld
wn|kahl sein, werden|Wb I S 314|kahl sein, werden
wn|Hase|Meeks: AL 770917|Hase
wn|[Beiwort des Osiris]|Meeks: AL 790667|[Beiwort des Osiris]
wnt|Schnur|Wb I S 314|Schnur
wnt|Heiligtum|Wb I S 315|Heiligtum
wnt|Festung|Wb I S 315|Festung
wnt|[Priesterin im Gau von Beni Hasan]|Wb I S 315|[Priesterin im Gau von Beni Hasan]
wnt|T&uuml;r|Meeks: AL 780965|Tuer
wn anx|der Freuden des Lebens entbehren(?)|RdE 30 (1978) S 12|der Freuden des Lebens entbehren(?)
wn-pr|Prozession|Wb I S 312|Prozession
wn-mAa|Richtigkeit|Wb I S 310|Richtigkeit
wn-mdj=f|er hat|Wb II S 177|er hat
wn-rA|Loch, Spalte, &Ouml;ffnung|RdE 30 (1978) S 13; Meeks: AL 770923; Meeks: AL 780967|Loch, Spalte, Oeffnung
wn-Hr|[Bezeichnung von Festen]|Wb I S 313|[Bezeichnung von Festen]
wnt-Hr|[Bezeichnung des Spiegels]|Wb I S 313|[Bezeichnung des Spiegels]
wn-Hr-mw|jemandem ergeben sein|Wb II S 52|jemandem ergeben sein
wn-Xnw|leuchten|Wb I S 313|leuchten
wn-Xr|haben|Wb III S 387|haben
wnj|eilen|Wb I S 313|eilen
wnj|Licht|Wb I S 315|Licht
wnjt|Kahlheit der Augenbrauen|Wb I S 314|Kahlheit der Augenbrauen
wnjtj|Triumphator|Wb I S 315|Triumphator
wnjj|treideln, ziehen|Meeks: AL 780972|treideln, ziehen
wn(j)|Licht(?) &lt;&lt;im Titel {Hm-wn(i)}&gt;&gt;|Meeks: AL 780974|Licht(?) <<im Titel {Hm-wn(i)}>>
wnj-mw=f|feindlich werden|Wb II S 52|feindlich werden
wnw|Pf&ouml;rtner|Wb I S 312|Pfoertner
wnw|Kind (im Mutterleib)|Wb I S 315|Kind (im Mutterleib)
wnw|Nachtruhe|Wb I S 315|Nachtruhe
wnw|Sehen|Wb I S 315|Sehen
wnw|Hermopolis|Wb I S 315|Hermopolis
wnw|[Gew&auml;sser im Delta]|Wb I S 315|[Gewaesser im Delta]
wnw|Gef&auml;&szlig;e (f&uuml;r Bier)|Wb I S 315|Gefaesse (fuer Bier)
wnwt|Stunde|Wb I S 316|Stunde
wnwt|Dienstleistung|Wb I S 317|Dienstleistung
wnwt|[Bezeichnung der Ur&auml;usschlange]|Wb I S 317|[Bezeichnung der Uraeusschlange]
wnwtj|Stundenbeobachter|Wb I S 317|Stundenbeobachter
wnw-Xt|[gute Eigenschaft]|Wb I S 315|[gute Eigenschaft]
wnwj|Kalb (als Bezeichnung des Osiris)|Wb I S 315|Kalb (als Bezeichnung des Osiris)
wnwn|[Vogel]|Wb I S 317|[Vogel]
wnwn|sich hin und her bewegen|Wb I S 318|sich hin und her bewegen
wnwn|drohen|Wb I S 318|drohen
wnwn|beobachten (Sterne)|Wb I S 318|beobachten (Sterne)
wnwnw|Astronom|Wb I S 318|Astronom
wnwnjt|[Teil des Himmels]|Wb I S 318|[Teil des Himmels]
wnwnjt|Laubendach|Wb I S 318|Laubendach
wnwnwt|[Name der Schlange]|Wb I S 318|[Name der Schlange]
wnwnt|[Getr&auml;nk]|Wb I S 315|[Getraenk]
wnwt|Sterne|Meeks: AL 780975|Sterne
wnb|Blume|Wb I S 319|Blume
wnb|[Teil des Auges]|Wb I S 319|[Teil des Auges]
wnp|erstechen|Wb I S 319|erstechen
wnp|[Priester in Edfu]|Wb I S 319|[Priester in Edfu]
wnp|[Beiname des Horus von Edfu]|Wb I S 319|[Beiname des Horus von Edfu]
wnpj|ausrei&szlig;en (Flachs)|Meeks: AL 780983|ausreissen (Flachs)
wnpjj|[Gottheit]|Meeks: AL 780985|[Gottheit]
wnpw|Sieg|Wb I S 319|Sieg
wnf|sich freuen|Wb I S 319|sich freuen
wnf|Freude|Wb I S 319|Freude
wnf-jb|sich freuen|Wb I S 319|sich freuen
wnf-jb|Freude|Wb I S 319|Freude
wnf-Hr|sich freuen|Wb I S 319|sich freuen
wnm|essen|Wb I S 320|essen
wnm|Essen|Wb I S 321|Essen
wnm|Masttier|Wb I S 321|Masttier
wnmt|Nahrung|Wb I S 321|Nahrung
wnmt|rechtes Auge (einer Gottheit)|Wb I S 322|rechtes Auge (einer Gottheit)
wnmt|[Geierg&ouml;ttin von Ober&auml;gypten], Bezeichnung f&uuml;r Diadem]|Wb I S 323|[Geiergoettin von Oberaegypten], Bezeichnung fuer Diadem]
wnmj|rechts|Wb I S 322|rechts
wnmj|[Bezeichnung der rechten Arbeitsabteilung]|Wb I S 322|[Bezeichnung der rechten Arbeitsabteilung]
wnmj|rechte Hand|Wb I S 322|rechte Hand
wnmjt|[Bezeichnung des Feuers]|Wb I S 321|[Bezeichnung des Feuers]
wnmw|F&uuml;tterung (des Viehs)|Wb I S 321|Fuetterung (des Viehs)
wnmw|der Verschlinger|Meeks: AL 780988|der Verschlinger
wnnt|das, was existiert|Wb I S 310|das, was existiert
wnnt-nbt|alles|Wb I S 310|alles
wnn-nfrw|[Beiname des Osiris]|Wb I S 311|[Beiname des Osiris]
wnnjw|Menschen|Wb I S 310|Menschen
wnnmt|[Zersetzungsprodukt einer Geschwulst]|Wb I S 323|[Zersetzungsprodukt einer Geschwulst]
wnnxj|[Beiname des Chons]|Wb I S 323|[Beiname des Chons]
wnr|[Titel eines Priesters]|Wb I S 323|[Titel eines Priesters]
wnrw|fortgehen|Meeks: AL 780993|fortgehen
wnHw|Kranz|Wb I S 323|Kranz
wnx|kleiden, gekleidet werden|Wb I S 323|kleiden, gekleidet werden
wnx|Ausrenkung|Wb I S 324|Ausrenkung
wnx|H&auml;morrhoiden|Wb I S 324|Haemorrhoiden
wnx|(= {xwn}) stechen|Wb I S 324|(= {xwn}) stechen
wnx|Brett, Latte|RdE 30 (1978) S 13; Meeks: AL 780998|Brett, Latte
wnxt|Kleidung|Wb I S 324|Kleidung
wnxjt|Mumienbinde|Wb I S 324|Mumienbinde
wnxw|Kleidung|Wb I S 324|Kleidung
wnxwj|[Zeugstreifen (paarweise)]|Wb I S 324|[Zeugstreifen (paarweise)]
wns|[Gew&auml;sser im Gau von Aphroditopolis]|Wb I S 324|[Gewaesser im Gau von Aphroditopolis]
wnS|Wolf|Wb I S 324|Wolf
wnS|Schlitten mit Wolfskopf|Wb I S 325|Schlitten mit Wolfskopf
wnS|[e&szlig;bare Frucht]|Wb I S 325|[essbare Frucht]
wnSt|W&ouml;lfin|Wb I S 325|Woelfin
wnSt|Wein|Wb I S 325|Wein
wnSjw|Wolfshund|Wb I S 325|Wolfshund
wnSnS|wandeln|Wb I S 325|wandeln
wng|[Pflanze]|Wb I S 325|[Pflanze]
wngjt|[Gottheit]|Wb I S 325|[Gottheit]
wnt|da&szlig; (vor Objektsatz)|Wb I S 309|dass (vor Objektsatz)
wnt|[Ausdruck der Schreinerei]|RdE 29 (1977) S 7|[Ausdruck der Schreinerei]
wntj|bedecken(?)|Meeks: AL 781001|bedecken(?)
wntj|[Gott]|Wb I S 325|[Gott]
wntj|[Bezeichnung des Apophis]|Wb I S 325|[Bezeichnung des Apophis]
wntjj|[b&ouml;ses Krokodil]|Meeks: AL 790701|[boeses Krokodil]
wnDt|Senkung, Schale|Meeks: AL 781006|Senkung, Schale
wnDj|[Substantiv als Toponym]|RdE 30 (1978) S 13; Meeks: AL 781004|[Substantiv als Toponym]
wnDjt|Rindvieh|Wb I S 326|Rindvieh
wnDw|[Rinder]|Wb I S 326|[Rinder]
wnDw|[Ziege]|Wb I S 326|[Ziege]
wnDwt|Schiffsbauch|Wb I S 326|Schiffsbauch
wnDwt|Leute, Angeh&ouml;rige|Wb I S 326|Leute, Angehoerige
wnDww|Art|Wb I S 326|Art
wnDww|[Bezeichnung f&uuml;r Speisen]|Wb I S 326|[Bezeichnung fuer Speisen]
wr|Schwalbe|Wb I S 326|Schwalbe
wr|gro&szlig;, gro&szlig; sein|Wb I S 326|gross, gross sein
wr|Gro&szlig;er|Wb I S 328|Grosser
wr|Gr&ouml;&szlig;e|Wb I S 330|Groesse
wr|in hohem Ma&szlig;e|Wb I S 330|in hohem Masse
wr|wie viel?|Wb I S 331|wie viel?
wr|gro&szlig;e Menge|Wb I S 331|grosse Menge
wr|Nilpferd (als Name des Seth)|Wb I S 331|Nilpferd (als Name des Seth)
wr|[Rind]|Wb I S 331|[Rind]
wr|[Gef&auml;&szlig; f&uuml;r &Ouml;l]|Wb I S 331|[Gefaess fuer Oel]
wr|Stier|Wb I S 331|Stier
wr|junger Vogel|Cerny: CED S 98|junger Vogel
wr|[Tier]|Meeks: AL 781029|[Tier]
wr|[Besch&auml;digung], Schaden]|RdE 30 (1978) S 13; Meeks: AL 770971; Meeks: AL 781025|[Beschaedigung], Schaden]
wr|[Gottesbezeichnung]|Meeks: AL 770959|[Gottesbezeichnung]
wr|[Name einer Phyle]|Meeks: AL 770960; Meeks: AL 781017|[Name einer Phyle]
wrt|Gro&szlig;e|Wb I S 330|Grosse
wrt|Gro&szlig;es (das man tut)|Wb I S 330|Grosses (das man tut)
wrt|Kuh|Wb I S 331|Kuh
wrt|[Ur&auml;usschlange]|Wb I S 332|[Uraeusschlange]
wrt|[Krone von Unter&auml;gypten]|Wb I S 332|[Krone von Unteraegypten]
wrt|(= {wrrt}) [Krone von Ober&auml;gypten]|Wb I S 332|(= {wrrt}) [Krone von Oberaegypten]
wrt|[Horusauge]|Wb I S 332|[Horusauge]
wrt|[Bezeichnung der Flamme]|Wb I S 332|[Bezeichnung der Flamme]
wrt|[Schiff]|Wb I S 332|[Schiff]
wrt|[Substantiv]|Wb I S 332|[Substantiv]
wrt|[Gew&auml;sser im Gau von Latopolis]|Wb I S 332|[Gewaesser im Gau von Latopolis]
wrt|[Pigment](?)]|Meeks: AL 770972; Meeks: AL 781026|[Pigment](?)]
wr-jtnt|[Schlange]|Wb I S 146|[Schlange]
wr-aA|Gro&szlig;f&uuml;rst|Wb I S 329|Grossfuerst
wr-wADtjj|[Titel des Horus / Hohenpriesters von Buto]|Meeks: AL 770953; Meeks: AL 781012|[Titel des Horus / Hohenpriesters von Buto]
wr-bjnw=f|[heilige Schlange im XI Gau von Unter&auml;gypten]|Wb I S 444|[heilige Schlange im XI Gau von Unteraegypten]
wr-bst|[Titel von Schatzbeamten]|Wb I S 472|[Titel von Schatzbeamten]
wr-pnaw|[Ehrentitel f&uuml;r Beamte]|Wb I S 509|[Ehrentitel fuer Beamte]
wr-mAw|Hoherpriester in Heliopolis|Wb I S 329|Hoherpriester in Heliopolis
wr-npt|[Priestertitel]|Wb II S 247|[Priestertitel]
wr-nxt|[D&auml;mon]|Meeks: AL 770954|[Daemon]
wr-Hw|[Titel]|Meeks: AL 770955|[Titel]
wr-HkAw|[Beiname von G&ouml;ttern]|Wb I S 328|[Beiname von Goettern]
wrt-HkAw|[Bezeichnung der Ur&auml;usschlange]|Wb I S 328|[Bezeichnung der Uraeusschlange]
wr-xrp-Hmwt|[Titel des Hohenpriesters von Memphis]|Wb I S 329|[Titel des Hohenpriesters von Memphis]
wr-Xrt|t&uuml;chtig (von Beamten)|Wb III S 391|tuechtig (von Beamten)
wr-skAt|[Gottheit]|Wb IV S 316|[Gottheit]
wr-tA|[Brot]|Meeks: AL 781015|[Brot]
wrj|Portion Fleisch|Wb I S 331|Portion Fleisch
wrjt|Gr&ouml;&szlig;e, Menge|Wb I S 332|Groesse, Menge
wrjt|heilige St&auml;tte|Wb I S 332|heilige Staette
wrjt|T&uuml;rpfosten|Wb I S 332|Tuerpfosten
wrjt|Tuch zum Durchseihen|Wb I S 332|Tuch zum Durchseihen
wrjt|B&auml;ume|Wb I S 332|Baeume
wrjjt|die hohen Wasser, Hochwasser|Meeks: AL 770970; Meeks: AL 790720|die hohen Wasser, Hochwasser
wra|[S&auml;nfte]|Wb I S 332|[Saenfte]
wrw|Teich|Wb I S 332|Teich
wrwtjj|[Gottheit]|Meeks: AL 781032|[Gottheit]
wrm|[T&auml;tigkeit, mit Zehen ausgef&uuml;hrt]|Wb I S 332|[Taetigkeit, mit Zehen ausgefuehrt]
wrm|&Uuml;berschwemmung|Wb I S 332|Ueberschwemmung
wrm|[Figur]|Wb I S 333|[Figur]
wrm|dichterische Komposition|RdE 29 (1977) S 7; Meeks: AL 770976|dichterische Komposition
wrm|[Schiffsteil]|Meeks: AL 781033|[Schiffsteil]
wrmt|Laube|Wb I S 333|Laube
wrmt|Hoden|Wb I S 333|Hoden
wrmjjt|Etui f&uuml;r Rasierer|Meeks: AL 770980|Etui fuer Rasierer
wrms|[Hathor]|Wb I S 333|[Hathor]
wrnw|[Gottheit]|Meeks: AL 781034|[Gottheit]
wrns|[Gew&auml;sser im Jenseits]|Wb I S 333|[Gewaesser im Jenseits]
wrnS|Pfosten|Wb I S 333|Pfosten
wrrt|[Krone von Ober&auml;gypten]|Wb I S 333|[Krone von Oberaegypten]
wrrt|Ur&auml;usschlange|Wb I S 333|Uraeusschlange
wrrt|Draht der {nt}-Krone|Wb I S 333|Draht der {nt}-Krone
wrrt|[K&ouml;rperteil(?)]|Meeks: AL 770982|[Koerperteil(?)]
wrrtj|[G&ouml;tterbezeichnung]|Wb I S 333|[Goetterbezeichnung]
wrrjt|Wagen|Wb I S 334|Wagen
wrrw|Wasserl&ouml;cher|Wb I S 334|Wasserloecher
wrrw|[Substantiv]|Meeks: AL 781035|[Substantiv]
wrrt|[Substantiv]|RdE 29 (1977) S 7|[Substantiv]
wrh|tanzen (vor Freude), Jubelruf|Wb I S 334|tanzen (vor Freude), Jubelruf
wrH|springen, tanzen (vor Freude)|Wb I S 334|springen, tanzen (vor Freude)
wrH|salben|Wb I S 334|salben
wrH|Salbe|Wb I S 335|Salbe
wrH|Salbgef&auml;&szlig;|Wb I S 335|Salbgefaess
wrHt|Salbmittel|Wb I S 335|Salbmittel
wrHw|unbebautes Gel&auml;nde|Meeks: AL 781040|unbebautes Gelaende
wrHw|Vorsteher bei Salbung|Meeks: AL 770985|Vorsteher bei Salbung
wrs|Kopfst&uuml;tze|Wb I S 335|Kopfstuetze
wrs|[Unterabteilung einer Phyle]|Meeks: AL 771035|[Unterabteilung einer Phyle]
wrs|St&uuml;tze (des Mastes)|Meeks: AL 781041|Stuetze (des Mastes)
wrs|Nekropole(?)|Meeks: AL 781042|Nekropole(?)
wrS|Tag zubringen|Wb I S 335|Tag zubringen
wrS|(intrans Verbum vom Netz mit V&ouml;geln)|Wb I S 336|(intrans Verbum vom Netz mit Voegeln)
wrS|Zeitabschnitt (neben Jahr gebraucht)|Wb I S 336|Zeitabschnitt (neben Jahr gebraucht)
wrS|W&auml;chter|Wb I S 336|Waechter
wrSt|Festteilnehmerschaft|Wb I S 336|Festteilnehmerschaft
wrSt|Wachthaus|Wb I S 336|Wachthaus
wrSt-mn|[Titel einer Priesterin des Min]|Wb I S 336|[Titel einer Priesterin des Min]
wrSj|Tagesdiensthabender|Wb I S 336|Tagesdiensthabender
wrSjt|[Ortsbezeichnung]|Wb I S 336|[Ortsbezeichnung]
wrt|[Farbe]|RdE 30 (1978) S 13|[Farbe]
wrtj|[Gott Month]|Wb I S 336|[Gott Month]
wrd|[Gans oder Ente]|Wb I S 336|[Gans oder Ente]
wrd|[Brot]|Meeks: AL 781046|[Brot]
wrD|m&uuml;de werden|Wb I S 337|muede werden
wrDt|M&uuml;digkeit|Wb I S 338|Muedigkeit
wrD-jb|m&uuml;de werden|Wb I S 338|muede werden
wrDw|Erm&uuml;deter|Wb I S 338|Ermuedeter
wrDw|unn&uuml;tzige Bem&uuml;hung|Wb I S 338|unnuetzige Bemuehung
wrDw-jb|[Osiris]|Wb I S 338|[Osiris]
whAhA|&Uuml;berhebung|Wb I S 340|Ueberhebung
whj|entgleiten|Wb I S 339|entgleiten
whj|Mi&szlig;erfolg|Wb I S 339|Misserfolg
whj|schm&auml;hende Bezeichnung des Seth|Wb I S 340|schmaehende Bezeichnung des Seth
whj|[Bezeichnung f&uuml;r Feinde]|Wb I S 340|[Bezeichnung fuer Feinde]
whj|[krankhafte Erscheinung im Kot]|Wb I S 340|[krankhafte Erscheinung im Kot]
whj-sp=f|[Bezeichnung des Seth]|Wb I S 339|[Bezeichnung des Seth]
whb|durchbohren|Wb I S 340|durchbohren
whb|Loch|Wb I S 340|Loch
whb|[Gew&auml;sser im Gau von Busiris]|Wb I S 340|[Gewaesser im Gau von Busiris]
whm|verbrennen|Wb I S 340|verbrennen
whm|Rinderfu&szlig;|Wb I S 340|Rinderfuss
whm|wiederholen|Wb I S 340|wiederholen
whm|[Titel eines Priesters]|Wb I S 344|[Titel eines Priesters]
whm|[Bezeichnung der Zunge]|Wb I S 344|[Bezeichnung der Zunge]
whm|[Bezeichnung f&uuml;r ein M&ouml;belst&uuml;ck]|Wb I S 345|[Bezeichnung fuer ein Moebelstueck]
whm|Feuer, Hitze|Meeks: AL 781049|Feuer, Hitze
whm-anx|[Bezeichnung des &Uuml;berschwemmungswassers]|Wb I S 344|[Bezeichnung des Ueberschwemmungswassers]
whm-msn|[Beiname des Arensnuphis]|Wb II S 145|[Beiname des Arensnuphis]
whm-n-ra|[Bezeichnung des Mnevis]|Wb I S 344|[Bezeichnung des Mnevis]
whm-rnp|sich verj&uuml;ngen|Wb II S 433|sich verjuengen
whmjt|Wiederholung|Wb I S 344|Wiederholung
whmw|Sprecher (als Titel)|Wb I S 344|Sprecher (als Titel)
whmw|[Bezeichnung des Himmels]|Wb I S 345|[Bezeichnung des Himmels]
whn|niederrei&szlig;en|Wb I S 345|niederreissen
whn|Einsturz|Wb I S 345|Einsturz
whn|(= {whj}) entgehen|Wb I S 345|(= {whj}) entgehen
whnn|Scheitel|Wb I S 346|Scheitel
whnn|[K&ouml;rperteil eines Fisches]|Wb I S 346|[Koerperteil eines Fisches]
whnnwtj|[Bezeichnung eines Falkenpaares]|Wb I S 346|[Bezeichnung eines Falkenpaares]
whr|versickern|Wb I S 346|versickern
whrt|H&uuml;ndin|Wb I S 346|Huendin
whs|l&auml;ssig sein|Wb I S 346|laessig sein
wHt|Niederlassung|Wb I S 346|Niederlassung
wHA|brechen, raufen, pfl&uuml;cken|Wb I S 346|brechen, raufen, pfluecken
wHA|[Krankheit]|Wb I S 347|[Krankheit]
wHAt|[Augenkrankheit]|Wb I S 347|[Augenkrankheit]
wHAt|Kessel zum Kochen|Wb I S 347|Kessel zum Kochen
wHAt|Oase, Talkessel|Wb I S 347|Oase, Talkessel
wHAtjw|Oasenbewohner|Wb I S 348|Oasenbewohner
wHAj|Ernte|Wb I S 347|Ernte
wHjt|Familie|Wb I S 346|Familie
wHjt|Stamm syrischer Beduinen|Wb I S 346|Stamm syrischer Beduinen
wHa|Fischerboot|Wb I S 348|Fischerboot
wHa|l&ouml;sen|Wb I S 348|loesen
wHa|opfern|Wb I S 349|opfern
wHa|Kranz|Wb I S 349|Kranz
wHa|Fischer|Wb I S 350|Fischer
wHa|fischen und V&ouml;gel fangen|Wb I S 350|fischen und Voegel fangen
wHa|Proviant|Wb I S 350|Proviant
wHa|[Fest der Tempelgr&uuml;ndung]|Wb I S 350|[Fest der Tempelgruendung]
wHa|[Fisch]|Wb I S 350|[Fisch]
wHa|stechen (vom Skorpion)|Wb I S 351|stechen (vom Skorpion)
wHa|zerst&ouml;ren (Grab)|Wb I S 351|zerstoeren (Grab)
wHa|Erkl&auml;rung, Kommentar|Meeks: AL 781057|Erklaerung, Kommentar
wHat|[Ente]|Wb I S 350|[Ente]
wHat|Skorpion|Wb I S 351|Skorpion
wHat|Gift|Wb I S 351|Gift
wHat|Lieferung, Versorgung|Meeks: AL 771004|Lieferung, Versorgung
wHa-jb|klug|Wb I S 348|klug
wHa-jtnw|schwierige Stellen erkl&auml;ren|Wb I S 146|schwierige Stellen erklaeren
wHa-m-Drwj|mit Farben versch&ouml;nern|Wb I S 349|mit Farben verschoenern
wHa-rmw|Fischer|Wb I S 350|Fischer
wHaj|[offizinell Verwendetes]|Wb I S 351|[offizinell Verwendetes]
wHwt|Stamm (Volk)|Wb I S 351|Stamm (Volk)
wHwH|(vom Unkenntlichwerden der Inschrift)|Wb I S 351|(vom Unkenntlichwerden der Inschrift)
wHwH|bellen|Wb I S 351|bellen
wHmwtjj|Wiederholung, Duplikat|Gardiner: In: Fs Grapow S 1|Wiederholung, Duplikat
wHr|[Material zu Amuletten]|Wb I S 351|[Material zu Amuletten]
wHs|abschneiden, beseitigen|Wb I S 351|abschneiden, beseitigen
wHswt|[Tier:] die Raubtiere(?)]|Meeks: AL 781066|[Tier:] die Raubtiere(?)]
wHtjj|[Holzart]|Meeks: AL 781067|[Holzart]
wx|[Gott von Kusae]|Wb I S 352|[Gott von Kusae]
wx|dunkel sein|Wb I S 352|dunkel sein
wx|Dunkel, Nacht|Wb I S 352|Dunkel, Nacht
wx|S&auml;ule, Pfeiler|Wb I S 352|Saeule, Pfeiler
wxt|Dunkelheit|Wb I S 352|Dunkelheit
wxA|S&auml;ulenhalle|Wb I S 352|Saeulenhalle
wxA|ausleeren|Wb I S 353|ausleeren
wxA|Wehen (Sturm)|Wb I S 353|Wehen (Sturm)
wxA|suchen|Wb I S 353|suchen
wxA|besorgen (Waren)|Wb I S 354|besorgen (Waren)
wxA|(= {xAj}) Wunde untersuchen|Wb I S 354|(= {xAj}) Wunde untersuchen
wxA|T&ouml;richter|Wb I S 354|Toerichter
wxA|Torheit|Wb I S 354|Torheit
wxA|t&ouml;richt sein|Wb I S 354|toericht sein
wxA|Erla&szlig;|Wb I S 354|Erlass
wxA|(= {wx}) Nacht|Wb I S 354|(= {wx}) Nacht
wxA|(= {wx}) S&auml;ule|Wb I S 355|(= {wx}) Saeule
wxA|[Tanzstellung]|Wb I S 355|[Tanzstellung]
wxA|[Geb&auml;ck]|Wb I S 355|[Gebaeck]
wxA|[Lotosbl&uuml;te]|Wb I S 355|[Lotosbluete]
wxAtj|[Bezeichnung der Sandalen]|Wb I S 355|[Bezeichnung der Sandalen]
wxA-mdt|jemanden wegen einer Sache belangen|Wb I S 354|jemanden wegen einer Sache belangen
wxA-qn|(vom Bearbeiten einen Matte)|Wb I S 353|(vom Bearbeiten einen Matte)
wxA-Tbt|Grundkante der Pyramide|Wb I S 354|Grundkante der Pyramide
wxAw|Zehenn&auml;gel (eines Gottes)|Wb I S 355|Zehennaegel (eines Gottes)
wxAwt|Sp&auml;her, Vortrab, Patrouille|RdE 29 (1977) S 7; Meeks: AL 771020|Spaeher, Vortrab, Patrouille
wxAtj|beschunht(?)|Meeks: AL 781076|beschunht(?)
wxr|jemanden erh&ouml;ren|Wb I S 355|jemanden erhoeren
wxr|Holz (als Tischler) bearbeiten|Wb I S 355|Holz (als Tischler) bearbeiten
wxrt|Zimmerplatz|Wb I S 355|Zimmerplatz
wxrjt|[Werkzeug des Tischlers]|Wb I S 355|[Werkzeug des Tischlers]
wxd|ertragen, r&uuml;cksichtsvoll behandeln|Wb I S 356|ertragen, ruecksichtsvoll behandeln
wxd|leiden (seelisch)|Wb I S 356|leiden (seelisch)
